2022-02-27 15:13:06,725 [main] INFO  -[AbstractTestContextBootstrapper.java:305]- Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.liyuehong.weeklyreport.WeeklyReportApplicationTests], using SpringBootContextLoader
2022-02-27 15:13:06,732 [main] INFO  -[AbstractContextLoader.java:264]- Could not detect default resource locations for test class [com.liyuehong.weeklyreport.WeeklyReportApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-02-27 15:13:06,734 [main] INFO  -[AnnotationConfigContextLoaderUtils.java:83]- Could not detect default configuration classes for test class [com.liyuehong.weeklyreport.WeeklyReportApplicationTests]: WeeklyReportApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-02-27 15:13:07,180 [main] INFO  -[SpringBootTestContextBootstrapper.java:238]- Found @SpringBootConfiguration com.liyuehong.weeklyreport.WeeklyReportApplication for test class com.liyuehong.weeklyreport.WeeklyReportApplicationTests
2022-02-27 15:13:07,357 [main] INFO  -[AbstractTestContextBootstrapper.java:245]- Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-02-27 15:13:07,418 [main] INFO  -[AbstractTestContextBootstrapper.java:174]- Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@456d6c1e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1e13529a, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@1ec9bd38, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@452e19ca, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6b0d80ed, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6f8e8894, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3cfdd820, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@928763c, org.springframework.test.context.event.EventPublishingTestExecutionListener@e25951c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@15f47664, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@471a9022, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@dc9876b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2f666ebb, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@19976a65, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@a1f72f5]
2022-02-27 15:13:07,861 [main] INFO  -[StartupInfoLogger.java:55]- Starting WeeklyReportApplicationTests using Java 1.8.0_291 on DESKTOP-AF5B2DF with PID 10344 (started by yhli3 in E:\MyGitHubRepository\WeeklyReport)
2022-02-27 15:13:07,862 [main] DEBUG -[StartupInfoLogger.java:56]- Running with Spring Boot v2.5.3, Spring v5.3.9
2022-02-27 15:13:07,863 [main] INFO  -[SpringApplication.java:659]- No active profile set, falling back to default profiles: default
2022-02-27 15:13:10,130 [main] INFO  -[RepositoryConfigurationDelegate.java:262]- Multiple Spring Data modules found, entering strict repository configuration mode!
2022-02-27 15:13:10,134 [main] INFO  -[RepositoryConfigurationDelegate.java:132]- Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-02-27 15:13:10,164 [main] INFO  -[RepositoryConfigurationDelegate.java:201]- Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
2022-02-27 15:13:10,857 [main] INFO  -[PostProcessorRegistrationDelegate.java:376]- Bean 'redisConfig' of type [com.liyuehong.weeklyreport.configuration.RedisConfig$$EnhancerBySpringCGLIB$$f363e4f6] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-02-27 15:13:11,743 [main] INFO  -[DruidDataSourceAutoConfigure.java:56]- Init DruidDataSource
2022-02-27 15:13:12,181 [main] INFO  -[DruidDataSource.java:930]- {dataSource-1} inited
2022-02-27 15:13:14,063 [main] INFO  -[EndpointLinksResolver.java:58]- Exposing 1 endpoint(s) beneath base path '/actuator'
2022-02-27 15:13:14,279 [main] INFO  -[RedisConfig.java:113]- 初始化 -> [Redis CacheErrorHandler]
2022-02-27 15:13:14,510 [main] INFO  -[DefaultSecurityFilterChain.java:51]- Will secure Ant [pattern='/js/**'] with []
2022-02-27 15:13:14,511 [main] INFO  -[DefaultSecurityFilterChain.java:51]- Will secure Ant [pattern='/css/**'] with []
2022-02-27 15:13:14,511 [main] INFO  -[DefaultSecurityFilterChain.java:51]- Will secure Ant [pattern='/images/**'] with []
2022-02-27 15:13:14,512 [main] INFO  -[DefaultSecurityFilterChain.java:51]- Will secure Ant [pattern='/swagger-ui.html'] with []
2022-02-27 15:13:14,512 [main] INFO  -[DefaultSecurityFilterChain.java:51]- Will secure Ant [pattern='/webjars/**'] with []
2022-02-27 15:13:14,512 [main] INFO  -[DefaultSecurityFilterChain.java:51]- Will secure Ant [pattern='/v2/**'] with []
2022-02-27 15:13:14,513 [main] INFO  -[DefaultSecurityFilterChain.java:51]- Will secure Ant [pattern='/swagger-resources/**'] with []
2022-02-27 15:13:14,829 [main] INFO  -[PropertySourcedRequestMappingHandlerMapping.java:69]- Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-02-27 15:13:14,976 [main] INFO  -[DefaultSecurityFilterChain.java:51]- Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@b8b2184, org.springframework.security.web.context.SecurityContextPersistenceFilter@727453a3, org.springframework.security.web.header.HeaderWriterFilter@3e39f08c, org.springframework.web.filter.CorsFilter@299a43d9, org.springframework.security.web.authentication.logout.LogoutFilter@1488a861, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@3b7b0b57, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@57f2e67, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@37986daf, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@ccd000e, org.springframework.security.web.session.SessionManagementFilter@598778cc, org.springframework.security.web.access.ExceptionTranslationFilter@26865b57, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@69a90b81]
2022-02-27 15:13:17,070 [main] INFO  -[DocumentationPluginsBootstrapper.java:160]- Context refreshed
